HGNC ID	NCBI gene ID
HGNC:10003	6000
HGNC:1001	604
HGNC:10011	6009
HGNC:10023	6016
HGNC:1004	605
HGNC:1008	607
HGNC:1014	613
HGNC:10249	6091
HGNC:10250	6092
HGNC:10253	9991
HGNC:10261	6098
HGNC:10298	6134
HGNC:10304	23521
HGNC:10315	6146
HGNC:10360	6125
HGNC:10371	6175
HGNC:10381	6184
HGNC:10432	6197
HGNC:10433	8986
HGNC:10436	6198
HGNC:10437	6199
HGNC:10451	6240
HGNC:10461	6249
HGNC:10471	861
HGNC:10480	23429
HGNC:10497	6278
HGNC:1058	641
HGNC:10661	6385
HGNC:10680	6389
HGNC:10681	6390
HGNC:10682	6391
HGNC:10683	6392
HGNC:1072	653
HGNC:1076	657
HGNC:10760	6418
HGNC:10761	9869
HGNC:10768	23451
HGNC:10774	6421
HGNC:10778	6424
HGNC:10783	6427
HGNC:10785	6428
HGNC:10810	6446
HGNC:10820	4068
HGNC:10830	6455
HGNC:10879	6491
HGNC:10887	6495
HGNC:10888	10736
HGNC:10896	6497
HGNC:1092	668
HGNC:10963	6580
HGNC:1097	673
HGNC:1100	672
HGNC:1101	675
HGNC:11020	10568
HGNC:1104	8019
HGNC:11086	9353
HGNC:11100	6597
HGNC:11101	8467
HGNC:11103	6598
HGNC:11106	6602
HGNC:11109	6605
HGNC:11110	8289
HGNC:11111	8243
HGNC:11114	8242
HGNC:11119	6608
HGNC:11139	9627
HGNC:11160	6634
HGNC:11187	6654
HGNC:11190	6663
HGNC:11195	6657
HGNC:11197	11166
HGNC:11204	6662
HGNC:11208	6670
HGNC:11241	6688
HGNC:11254	8405
HGNC:11272	6708
HGNC:11280	8878
HGNC:11283	6714
HGNC:11291	6722
HGNC:1130	694
HGNC:1131	7832
HGNC:11320	10006
HGNC:1133	695
HGNC:11335	6756
HGNC:11336	6757
HGNC:11338	6759
HGNC:11340	6760
HGNC:11354	10274
HGNC:11355	10735
HGNC:11364	6774
HGNC:11365	6775
HGNC:11366	6776
HGNC:11367	6777
HGNC:11368	6778
HGNC:11386	6786
HGNC:11389	6794
HGNC:11390	9212
HGNC:11393	6790
HGNC:11424	6801
HGNC:11487	6847
HGNC:1149	701
HGNC:11491	6850
HGNC:115	47
HGNC:11522	6867
HGNC:11524	10460
HGNC:11529	4072
HGNC:11531	6871
HGNC:11535	6872
HGNC:11547	8148
HGNC:11556	6886
HGNC:11557	6887
HGNC:11602	6926
HGNC:11612	6917
HGNC:11617	6921
HGNC:11621	6927
HGNC:11623	6938
HGNC:11633	6929
HGNC:11641	6934
HGNC:11642	6935
HGNC:11648	8115
HGNC:11714	7003
HGNC:11719	7006
HGNC:11720	7007
HGNC:11724	7010
HGNC:11727	7012
HGNC:11730	7015
HGNC:11752	7030
HGNC:11753	7942
HGNC:11758	10342
HGNC:11763	7037
